,original_index,item_number,document_number,volume,start_page,page_length,agency,title,action_FR_coded,phase,action,joint,publication_date,html_url,REG_DOT_GOV_DOCNO,RIN,identifier,URL,coded_on_sheet
16,7,0,2011-25105,76,60707,4,TREAS,Supplemental Standards for Ethical Conduct for Employees of the Department of the Treasury,Interim rule.,INTERIM-FINAL,Issuance,No,9/30/11,https://www.federalregister.gov/documents/2011/09/30/2011-25105/supplemental-standards-for-ethical-conduct-for-employees-of-the-department-of-the-treasury,TREAS-DO-2011-0011-0001,1505-AC38,TREAS-DO-2011-0011,https://www.regulations.gov/docket?D=TREAS-DO-2011-0011,Documents
17,8,0,2011-33659,77,35,10,TREAS,Assessment of Fees on Large Bank Holding Companies and Nonbank Financial Companies Supervised by the Federal Reserve Board To Cover the Expenses of the Financial Research Fund,Proposed rule.,NPR,Issuance,No,1/3/12,https://www.federalregister.gov/documents/2012/01/03/2011-33659/assessment-of-fees-on-large-bank-holding-companies-and-nonbank-financial-companies-supervised-by-the,TREAS-DO-2012-0001-0001,1505-AC42,TREAS-DO-2012-0001,https://www.regulations.gov/docket?D=TREAS-DO-2012-0001,Documents
18,8,1,2012-12047,77,29884,12,TREAS,Assessment of Fees on Large Bank Holding Companies and Nonbank Financial Companies Supervised by the Federal Reserve Board To Cover the Expenses of the Financial Research Fund,Final rule and interim final rule.,FINAL,Issuance-Complex,No,5/21/12,https://www.federalregister.gov/documents/2012/05/21/2012-12047/assessment-of-fees-on-large-bank-holding-companies-and-nonbank-financial-companies-supervised-by-the,TREAS-DO-2012-0001-0017,1505-AC42,TREAS-DO-2012-0001,https://www.regulations.gov/docket?D=TREAS-DO-2012-0001,Documents
19,9,0,2014-29330,79,75473,24,FRS,Risk-Based Capital Guidelines: Implementation of Capital Requirements for Global Systemically Important Bank Holding Companies,Notice of proposed rulemaking.,NPR,Issuance,No,12/18/14,https://www.federalregister.gov/documents/2014/12/18/2014-29330/risk-based-capital-guidelines-implementation-of-capital-requirements-for-global-systemically,FRS-2014-0381-0001,7100-AE26,R-1505,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1505&doc_ver=1,Documents
20,9,1,2015-18702,80,49081,36,FRS,Regulatory Capital Rules: Implementation of Risk-Based Capital Surcharges for Global Systemically Important Bank Holding Companies,Final rule.,FINAL,Issuance,No,8/14/15,https://www.federalregister.gov/documents/2015/08/14/2015-18702/regulatory-capital-rules-implementation-of-risk-based-capital-surcharges-for-global-systemically,FRS-2015-0268-0001,7100-AE26,R-1505,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1505&doc_ver=1,Documents
21,9,2,2016-08015,81,20579,4,FRS,Risk-Based Capital Guidelines: Implementation of Capital Requirements for Global Systemically Important Bank Holding Companies,Notice of proposed rulemaking.,NPR,Issuance,No,4/8/16,https://www.federalregister.gov/documents/2016/04/08/2016-08015/risk-based-capital-guidelines-implementation-of-capital-requirements-for-global-systemically,FRS-2016-0112-0001,7100-AE49,R-1535,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1535&doc_ver=1,Documents
22,9,3,2016-29966,81,90952,4,FRS,Regulatory Capital Rules: Implementation of Capital Requirements for Global Systemically Important Bank Holding Companies,Final rule.,FINAL,Issuance,No,12/16/16,https://www.federalregister.gov/documents/2016/12/16/2016-29966/regulatory-capital-rules-implementation-of-capital-requirements-for-global-systemically-important,FRS-2016-0403-0001,7100-AE49,R-1535,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1535&doc_ver=1,Documents
23,10,0,2011-9357,76,22648,15,FRS,Resolution Plans and Credit Exposure Reports Required,Proposed rule; request for public comment.,NPR,Issuance,No,4/22/11,https://www.federalregister.gov/documents/2011/04/22/2011-9357/resolution-plans-and-credit-exposure-reports-required,FRS-2011-0100-0001,7100-AD73,R-1414,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1414&doc_ver=1,Documents
24,11,0,2011-14831,76,35351,11,FRS,Capital Plans,Proposed rule.,NPR,Issuance,No,6/17/11,https://www.federalregister.gov/documents/2011/06/17/2011-14831/capital-plans,FRS-2011-0155-0001,7100-AD77,R-1425,https://web.archive.org/web/20120921120339/http://www.federalreserve.gov/apps/foia/ViewComments.aspx?doc_id=R-1425&doc_ver=1,Documents
25,11,1,2011-30665,76,74631,18,FRS,Capital Plans,Final rule.,FINAL,Issuance,No,12/1/11,https://www.federalregister.gov/documents/2011/12/01/2011-30665/capital-plans,FRS-2011-0339-0001,7100-AD77,R-1425,https://web.archive.org/web/20120921120339/http://www.federalreserve.gov/apps/foia/ViewComments.aspx?doc_id=R-1425&doc_ver=1,Documents
26,11,2,2013-23618,78,59779,13,FRS,Regulations Y and YY: Application of the Revised Capital Framework to the Capital Plan and Stress Test Rules,Interim final rule with request for comment.,INTERIM-FINAL,Issuance,No,9/30/13,https://www.federalregister.gov/documents/2013/09/30/2013-23618/regulations-y-and-yy-application-of-the-revised-capital-framework-to-the-capital-plan-and-stress,FRS-2013-0279-0001,7100-AE01,R-1463,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1463&doc_ver=1,Documents
27,11,3,2014-05053,79,13498,18,FRS,Application of the Revised Capital Framework to the Capital Plan and Stress Test Rules,Final rule.,FINAL,Issuance,No,3/11/14,https://www.federalregister.gov/documents/2014/03/11/2014-05053/application-of-the-revised-capital-framework-to-the-capital-plan-and-stress-test-rules,FRS-2014-0069-0001,7100-AE01,R-1463,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1463&doc_ver=1,Documents
28,12,0,2012-1135,77,3166,7,FDIC,Annual Stress Test,Proposed rule with request for public comment.,NPR,Issuance,No,1/23/12,https://www.federalregister.gov/documents/2012/01/23/2012-1135/annual-stress-test,FDIC-2012-0006-0001,3064-AD91,3064-AD91,https://www.fdic.gov/regulations/laws/federal/2012/2012-ad91.html,Documents
29,12,1,2012-25194,77,62417,11,FDIC,Annual Stress Test,Final rule.,FINAL,Issuance,No,10/15/12,https://www.federalregister.gov/documents/2012/10/15/2012-25194/annual-stress-test,FDIC-2012-0127-0001,3064-AD91,3064-AD91,https://www.fdic.gov/regulations/laws/federal/2012/2012-ad91.html,Documents
30,12,2,2014-14389,79,37235,5,FDIC,Annual Stress Test,Proposed rule with request for public comment.,NPR,Issuance,No,7/1/14,https://www.federalregister.gov/documents/2014/07/01/2014-14389/annual-stress-test,FDIC-2014-0067-0001,3064-AE18,3064-AE18,https://www.fdic.gov/regulations/laws/federal/2014/annual_stress_test_3064-ae18.html,Documents
31,12,3,2014-27610,79,69365,5,FDIC,Annual Stress Test,Final rule.,FINAL,Issuance,No,11/21/14,https://www.federalregister.gov/documents/2014/11/21/2014-27610/annual-stress-test,FDIC-2014-0132-0001,3064-AE18,3064-AE18,https://www.fdic.gov/regulations/laws/federal/2014/annual_stress_test_3064-ae18.html,Documents
32,13,0,2011-9357,76,22648,15,FRS,Resolution Plans and Credit Exposure Reports Required,Proposed rule; request for public comment.,NPR,Issuance,No,4/22/11,https://www.federalregister.gov/documents/2011/04/22/2011-9357/resolution-plans-and-credit-exposure-reports-required,FRS-2011-0100-0001,7100-AD73,R-1414,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1414&doc_ver=1,Documents
33,13,1,2011-9357,76,22648,15,FDIC,Resolution Plans and Credit Exposure Reports Required,Proposed rule; request for public comment.,NPR,Issuance,No,4/22/11,https://www.federalregister.gov/documents/2011/04/22/2011-9357/resolution-plans-and-credit-exposure-reports-required,FDIC-2011-0052-0001,3064-AD77,3064-AD77,https://www.fdic.gov/regulations/laws/federal/2011/11comad77.html,Documents
34,13,2,2011-24179,76,58379,15,FDIC,Resolution Plans Required for Insured Depository Institutions With $50 Billion or More in Total Assets,Interim final rule.,INTERIM-FINAL,Issuance,No,9/21/11,https://www.federalregister.gov/documents/2011/09/21/2011-24179/resolution-plans-required-for-insured-depository-institutions-with-50-billion-or-more-in-total,FDIC-2011-0134-0001,3064-AD59,3064-AD59,https://www.fdic.gov/regulations/laws/federal/2011/11comad59.html,Documents
35,13,3,2011-27377,76,67323,18,FRS,Resolution Plans Required,Final rule.,FINAL,Issuance,No,11/1/11,https://www.federalregister.gov/documents/2011/11/01/2011-27377/resolution-plans-required,FRS-2011-0305-0001,7100-AD73,R-1414,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1414&doc_ver=1,Documents
36,13,4,2011-27377,76,67323,18,FDIC,Resolution Plans Required,Final rule.,FINAL,Issuance,No,11/1/11,https://www.federalregister.gov/documents/2011/11/01/2011-27377/resolution-plans-required,FDIC-2011-0147-0001,3064-AD77,3064-AD77,https://www.fdic.gov/regulations/laws/federal/2011/11comad77.html,Documents
37,14,0,2011-33364,77,593,71,FRS,Enhanced Prudential Standards and Early Remediation Requirements for Covered Companies,Proposed rule; request for public comment.,NPR,Issuance,No,1/5/12,https://www.federalregister.gov/documents/2012/01/05/2011-33364/enhanced-prudential-standards-and-early-remediation-requirements-for-covered-companies,FRS-2012-0006-0001,7100-AD86,R-1438,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1438&doc_ver=1,Documents
38,14,1,2012-30734,77,76628,77,FRS,Enhanced Prudential Standards and Early Remediation Requirements for Foreign Banking Organizations and Foreign Nonbank Financial Companies,Proposed rule; request for public comment.,NPR,Issuance,No,12/28/12,https://www.federalregister.gov/documents/2012/12/28/2012-30734/enhanced-prudential-standards-and-early-remediation-requirements-for-foreign-banking-organizations,FRS-2012-0390-0001,7100-AD86,R-1438,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1438&doc_ver=2,Documents
39,14,2,2016-05386,81,14327,38,FRS,Single-Counterparty Credit Limits for Large Banking Organizations,Notice of proposed rulemaking.,NPR,Issuance,No,3/16/16,https://www.federalregister.gov/documents/2016/03/16/2016-05386/single-counterparty-credit-limits-for-large-banking-organizations,FRS-2016-0081-0001,7100-AE48,R-1534,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1534&doc_ver=1,Documents
40,15,0,2012-6811,77,16484,1,OCC,Annual Stress Test,Proposed rule; extension of comment period.,NPR,Extension,No,3/21/12,https://www.federalregister.gov/documents/2012/03/21/2012-6811/annual-stress-test,OCC-2011-0029-0006,1557-AD58,OCC-2011-0029,https://www.regulations.gov/docket?D=OCC-2011-0029,Documents
41,15,1,2012-24608,77,61238,11,OCC,Annual Stress Test,Final rule.,FINAL,Issuance,No,10/9/12,https://www.federalregister.gov/documents/2012/10/09/2012-24608/annual-stress-test,OCC-2011-0029-0023,1557-AD58,OCC-2011-0029,https://www.regulations.gov/docket?D=OCC-2011-0029,Documents
42,15,2,2014-14416,79,37231,5,OCC,Annual Stress Test-Schedule Shift and Adjustments to Regulatory Capital Projections,Proposed rule.,NPR,Issuance,No,7/1/14,https://www.federalregister.gov/documents/2014/07/01/2014-14416/annual-stress-test-schedule-shift-and-adjustments-to-regulatory-capital-projections,OCC-2014-0015-0001,1557-AD85,OCC-2014-0015,https://www.regulations.gov/docket?D=OCC-2014-0015,Documents
43,16,0,2012-24637,77,60948,5,FHFA,Stress Testing of Regulated Entities,Notice of proposed rulemaking; request for comment.,NPR,Issuance,No,10/5/12,https://www.federalregister.gov/documents/2012/10/05/2012-24637/stress-testing-of-regulated-entities,FHFA-2012-0025-0001,2590-AA47,2590-AA47,https://www.fhfa.gov/SupervisionRegulation/Rules/Pages/Comment-List.aspx?RuleID=335,Documents
44,16,1,2013-22586,78,59219,5,FHFA,Stress Testing of Regulated Entities,Final rule.,FINAL,Issuance,No,9/26/13,https://www.federalregister.gov/documents/2013/09/26/2013-22586/stress-testing-of-regulated-entities,FHFA-2013-0027-0001,2590-AA47,2590-AA47,https://www.fhfa.gov/SupervisionRegulation/Rules/Pages/Stress-Testing-of-Regulated-Entities1124-3604.aspx,Documents
45,17,0,2011-33364,77,593,71,FRS,Enhanced Prudential Standards and Early Remediation Requirements for Covered Companies,Proposed rule; request for public comment.,NPR,Issuance,No,1/5/12,https://www.federalregister.gov/documents/2012/01/05/2011-33364/enhanced-prudential-standards-and-early-remediation-requirements-for-covered-companies,FRS-2012-0006-0001,7100-AD86,R-1438,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1438&doc_ver=1,Documents
46,17,1,2012-24987,77,62378,19,FRS,Supervisory and Company-Run Stress Test Requirements for Covered Companies,Final rule.,FINAL,Issuance,No,10/12/12,https://www.federalregister.gov/documents/2012/10/12/2012-24987/supervisory-and-company-run-stress-test-requirements-for-covered-companies,FRS-2012-0300-0001,7100-AD86,R-1438,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1438&doc_ver=1,Documents
47,17,2,2013-23619,78,59791,8,FRS,Annual Company-Run Stress Tests at Banking Organizations With Total Consolidated Assets of More Than $10 Billion But Less Than $50 Billion; One-Year Transition Period to Revised Regulatory Capital Framework for 2013-2014 Stress Test Cycle,Interim final rule with request for comment.,INTERIM-FINAL,Issuance,No,9/30/13,https://www.federalregister.gov/documents/2013/09/30/2013-23619/annual-company-run-stress-tests-at-banking-organizations-with-total-consolidated-assets-of-more-than,FRS-2013-0275-0001,7100-AE02,R-1464,https://www.federalreserve.gov/apps/foia/ViewComments.aspx?doc_id=R-1464&doc_ver=1,Documents
48,18,0,2011-33364,77,593,71,FRS,Enhanced Prudential Standards and Early Remediation Requirements for Covered Companies,Proposed rule; request for public comment.,NPR,Issuance,No,1/5/12,https://www.federalregister.gov/documents/2012/01/05/2011-33364/enhanced-prudential-standards-and-early-remediation-requirements-for-covered-companies,FRS-2012-0006-0001,7100-AD86,R-1438,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1438&doc_ver=1,Documents
49,18,1,2012-24987,77,62378,19,FRS,Supervisory and Company-Run Stress Test Requirements for Covered Companies,Final rule.,FINAL,Issuance,No,10/12/12,https://www.federalregister.gov/documents/2012/10/12/2012-24987/supervisory-and-company-run-stress-test-requirements-for-covered-companies,FRS-2012-0300-0001,7100-AD86,R-1438,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1438&doc_ver=1,Documents
50,18,2,2013-23618,78,59779,13,FRS,Regulations Y and YY: Application of the Revised Capital Framework to the Capital Plan and Stress Test Rules,Interim final rule with request for comment.,INTERIM-FINAL,Issuance,No,9/30/13,https://www.federalregister.gov/documents/2013/09/30/2013-23618/regulations-y-and-yy-application-of-the-revised-capital-framework-to-the-capital-plan-and-stress,FRS-2013-0279-0001,7100-AE01,R-1463,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1463&doc_ver=1,Documents
51,18,3,2014-05053,79,13498,18,FRS,Application of the Revised Capital Framework to the Capital Plan and Stress Test Rules,Final rule.,FINAL,Issuance,No,3/11/14,https://www.federalregister.gov/documents/2014/03/11/2014-05053/application-of-the-revised-capital-framework-to-the-capital-plan-and-stress-test-rules,FRS-2014-0069-0001,7100-AE01,R-1463,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1463&doc_ver=1,Documents
52,18,4,2014-14357,79,37419,27,FRS,Amendments to the Capital Plan and Stress Test Rules,Notice of proposed rulemaking with request for comment.,NPR,Issuance,No,7/1/14,https://www.federalregister.gov/documents/2014/07/01/2014-14357/amendments-to-the-capital-plan-and-stress-test-rules,FRS-2014-0190-0001,7100-AE20,R-1492,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1492&doc_ver=1,Documents
53,18,5,2014-25170,79,64025,32,FRS,Capital Plan and Stress Test Rules,Final rule.,FINAL,Issuance,No,10/27/14,https://www.federalregister.gov/documents/2014/10/27/2014-25170/capital-plan-and-stress-test-rules,FRS-2014-0314-0001,7100-AE20,R-1492,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1492&doc_ver=1,Documents
54,18,6,2016-23629,81,67239,22,FRS,Amendments to the Capital Plan and Stress Test Rules,Notice of proposed rulemaking with request for comment.,NPR,Issuance,No,9/30/16,https://www.federalregister.gov/documents/2016/09/30/2016-23629/amendments-to-the-capital-plan-and-stress-test-rules,FRS-2016-0314-0001,7100-AE59,R-1548,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1548&doc_ver=1,Documents
55,18,7,2017-02257,82,9308,23,FRS,Amendments to the Capital Plan and Stress Test Rules; Regulations Y and YY,Final rule.,FINAL,Issuance,No,2/3/17,https://www.federalregister.gov/documents/2017/02/03/2017-02257/amendments-to-the-capital-plan-and-stress-test-rules-regulations-y-and-yy,FRS-2017-0030-0001,7100-AE59,R-1548,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1548&doc_ver=1,Documents
56,19,0,2013-27082,78,71817,52,OCC,"Liquidity Coverage Ratio: Liquidity Risk Measurement, Standards, and Monitoring",Notice of proposed rulemaking with request for public comment.,NPR,Issuance,No,11/29/13,https://www.federalregister.gov/documents/2013/11/29/2013-27082/liquidity-coverage-ratio-liquidity-risk-measurement-standards-and-monitoring,OCC-2013-0016-0001,1557-AD74,OCC-2013-0016,https://www.regulations.gov/docket?D=OCC-2013-0016,Documents
57,19,1,2013-27082,78,71817,52,FRS,"Liquidity Coverage Ratio: Liquidity Risk Measurement, Standards, and Monitoring",Notice of proposed rulemaking with request for public comment.,NPR,Issuance,No,11/29/13,https://www.federalregister.gov/documents/2013/11/29/2013-27082/liquidity-coverage-ratio-liquidity-risk-measurement-standards-and-monitoring,FRS-2013-0354-0001,7100-AE03,R-1466,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1466&doc_ver=1,Documents
58,19,2,2013-27082,78,71817,52,FDIC,"Liquidity Coverage Ratio: Liquidity Risk Measurement, Standards, and Monitoring",Notice of proposed rulemaking with request for public comment.,NPR,Issuance,No,11/29/13,https://www.federalregister.gov/documents/2013/11/29/2013-27082/liquidity-coverage-ratio-liquidity-risk-measurement-standards-and-monitoring,FDIC-2013-0139-0001,3064-AE04,3064-AE04,https://www.fdic.gov/regulations/laws/federal/2013/2013_liquidity_coverage_ae04.html,Documents
59,19,3,2014-22520,79,61439,103,OCC,Liquidity Coverage Ratio: Liquidity Risk Measurement Standards,Final rule.,FINAL,Issuance,No,10/10/14,https://www.federalregister.gov/documents/2014/10/10/2014-22520/liquidity-coverage-ratio-liquidity-risk-measurement-standards,OCC-2013-0016-0169,1557-AD74,OCC-2013-0016,https://www.regulations.gov/docket?D=OCC-2013-0016,Documents
60,19,4,2014-22520,79,61439,103,FRS,Liquidity Coverage Ratio: Liquidity Risk Measurement Standards,Final rule.,FINAL,Issuance,No,10/10/14,https://www.federalregister.gov/documents/2014/10/10/2014-22520/liquidity-coverage-ratio-liquidity-risk-measurement-standards,FRS-2014-0297-0001,7100-AE03,R-1466,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1466&doc_ver=1,Documents
61,19,5,2014-22520,79,61439,103,FDIC,Liquidity Coverage Ratio: Liquidity Risk Measurement Standards,Final rule.,FINAL,Issuance,No,10/10/14,https://www.federalregister.gov/documents/2014/10/10/2014-22520/liquidity-coverage-ratio-liquidity-risk-measurement-standards,FDIC-2014-0108-0001,3064-AE04,3064-AE04,https://www.fdic.gov/regulations/laws/federal/2013/2013_liquidity_coverage_ae04.html,Documents
62,20,0,2011-33364,77,593,71,FRS,Enhanced Prudential Standards and Early Remediation Requirements for Covered Companies,Proposed rule; request for public comment.,NPR,Issuance,No,1/5/12,https://www.federalregister.gov/documents/2012/01/05/2011-33364/enhanced-prudential-standards-and-early-remediation-requirements-for-covered-companies,FRS-2012-0006-0001,7100-AD86,R-1438,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1438&doc_ver=1,Documents
63,20,1,2012-30734,77,76628,77,FRS,Enhanced Prudential Standards and Early Remediation Requirements for Foreign Banking Organizations and Foreign Nonbank Financial Companies,Proposed rule; request for public comment.,NPR,Issuance,No,12/28/12,https://www.federalregister.gov/documents/2012/12/28/2012-30734/enhanced-prudential-standards-and-early-remediation-requirements-for-foreign-banking-organizations,FRS-2012-0390-0001,7100-AD86,R-1438,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1438&doc_ver=2,Documents
64,20,2,2014-05699,79,17239,100,FRS,Enhanced Prudential Standards for Bank Holding Companies and Foreign Banking Organizations,Final rule; request for public comment on Paperwork Reduction Act burden estimates only.,FINAL,Issuance-Complex,No,3/27/14,https://www.federalregister.gov/documents/2014/03/27/2014-05699/enhanced-prudential-standards-for-bank-holding-companies-and-foreign-banking-organizations,FRS-2014-0085-0001,7100-AD86,R-1438,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1438&doc_ver=2,Documents
