,Topic,Category,Agencies,Dodd-Frank Section,Citation,Regulator Summary,Timeline,Final Rule,Proposed Rule / ANPR,Related Tracker Rows,Associated Rulemap,Doc ID
40,Regulations Transferred From Office of Thrift Savings and Rules of Practice and Procedure,OTS Abolishment,FDIC,316,"12 CFR Parts 308 and 390
RIN 3064-AE08","The FDIC proposes to rescind and remove regulations transferred from the OTS, and amend its rules of practice and procedure in ways that will ensure that all insured depository institutions, for which the FDIC is the appropriate Federal banking agency, are subject to the same substantive and procedural rules governing administrative hearings.","2014/06/20 - Comment Deadline for Proposed Rule
2014/04/21 - Proposed Rule",,"2014/04/21 FDIC Proposed Rule Regulations Transferred From Office of Thrift Savings and Rules of Practice and Procedure (Comments due by June 20, 2014)",133,,300
41,Supervision and Regulation Assessments for Bank Holding Companies and Savings and Loan Holding Companies with Total Consolidated Assets of $50 Billion or More and Nonbank Financial Companies Supervised by the Federal Reserve,Systemic Risk Regulation,Federal Reserve,318,"12 CFR Part 246
RIN 7100-AD-95","The Federal Reserve is adopting a final rule to implement section 318 of the Dodd-Frank Act, which directs the Federal Reserve to collect assessments, fees, or other charges equal to the total expenses the Board estimates are necessary or appropriate to carry out the supervisory and regulatory responsibilities of the Board for bank holding companies and savings and loan holding companies with total consolidated assets of $50 billion or more and nonbank financial companies designated for Board supervision by the FSOC.","2013/10/25 - Effective Date of Final Rule
2013/08/23 - Final Rule
2013/06/15 - Comment Deadline for Proposed Rule
2013/04/18 - Proposed Rule","2013/08/23 Fed Final Rule Supervision and Regulation Assessments for Bank Holding Companies and Savings and Loan Holding Companies with Total Consolidated Assets of $50 Billion or More and Nonbank Financial Companies Supervised by the Federal Reserve (Effective October 25, 2013)","2013/04/18 Fed Proposed Rule Supervision and Regulation Assessments for Bank Holding Companies and Savings and Loan Holding Companies with Total Consolidated Assets of $50 Billion or More and Nonbank Financial Companies Supervised by the Federal Reserve (Comments due by June 15, 2013)",138,,267
42,Assessment of Fees,Regulation of Depository Institutions and their Holding Companies,OCC,318,"12 CFR Part 8
RIN 1557-AD82","The OCC is adopting a final rule to increase assessments for certain national banks and Federal savings associations (FSAs) with assets of more than $40 billion. The increase will range between 0.32 percent and approximately 14 percent, depending on the total assets of the institution as reflected in its June 30, 2014, Consolidated Report of Condition and Income. The average increase in assessments for affected banks and FSAs will be 12 percent. The final rule will not increase assessments for banks or FSAs with $40 billion or less in total assets. The OCC will implement the increase in assessments by issuing an amended Notice of OCC Fees and Assessments, which will become effective as of the semiannual assessment due on September 30, 2014. In conjunction with the increase in assessments, the final rule updates OCC's assessment rules to conform with section 318 of the Dodd-Frank Act, which reaffirmed the authority of the OCC to set the amount of, and methodology for, assessments. The final rule also makes technical and conforming changes to the assessment rule.","2014/08/08 - Effective Date of Final Rule
2014/07/09 - Final Rule
2014/06/12 - Comment Deadline for Proposed Rule
2014/04/28 - Proposed Rule","2014/07/09 OCC Final Rule Assessment of Fees (Effective August 8, 2014)","2014/04/28 OCC Proposed Rule Assessment of Fees (Comments due by June 12, 2014)",136,,301
43,"Assessment Base, Assessment Rates, Assessment Dividends, and Large Bank Pricing
[DPW Note: See related Notice of Proposed Information Collection Activities discussing the requirements of this Final Rule.  See related Assessment Guidelines.]",Deposit Insurance Reforms,FDIC,"331
332","12 CFR Part 327
RIN 3064-AD66
RIN 3064-AD63
RIN 3064-AD92",The FDIC is amending its regulations to implement revisions to the Federal Deposit Insurance Act made by the Dodd-Frank Act by modifying the definition of an institution’s deposit insurance assessment base; to change the assessment rate adjustments; to revise the deposit insurance assessment rate schedules in light of the new assessment base and altered adjustments; to implement Dodd-Frank’s dividend provisions; to revise the large insured depository institution assessment system to better differentiate for risk and better take into account losses from large institution failures that the FDIC may incur; and to make technical and other changes to the FDIC’s assessment rules.,"2018/01/01 - Effective Date of Final Rule (Assessments)
2016/07/01 - Effective Date of Final Rule (Assessments)
2016/05/20 - Final Rule (Amendment to Assessments)
2016/03/25 - Final Rule (Assessments)
2015/09/11 - Comment Deadline for Proposed Rule (Assessments, Small Insured Depository Institutions)
2015/01/01 - Effective Date on Final Rule (Assessments)
2014/11/26 - Final Rule (Assessments)
2014/09/22 - Comment Deadline for Proposed Rule (Further Amendments)
2014/07/23 - Proposed Rule (Further Amendments)
2013/04/01 - Effective Date of Final Rule on Amended Definitions
2012/10/31 - Final Rule on Amended Definitions
2012/05/29 - Comment Deadline for Proposed Rule on Amended Definitions
2012/03/27 - Proposed Rule on Amended Definitions
2011/04/01 - Effective Date of Final Rule
2011/03/30 - Correction to Final Rule
2011/02/25 - Final Rule
2011/01/03 - Comment Deadline for November Proposed Rules
2010/11/26 - Comment Deadline for October Proposed Rule
2010/11/24 - Proposed Rules
2010/10/27 - Proposed Rule","2016/05/20 FDIC Final Rule Assessments (Amendment) (Effective July 1, 2016)
2016/03/25 FDIC Final Rule Assessments (Effective July 1, 2016)
2014/11/26 FDIC Final Rule Assessments (Effective January 1, 2015, except for the incorporation of the supplementary leverage ratio and corresponding ratio thresholds into the definition of capital evaluations is effective January 1, 2018)
2012/10/31 FDIC Final Rule Assessments, Large Bank Pricing (Effective April 1, 2013)
2011/02/25 FDIC Final Rule Assessments, Large Bank Pricing (Effective April 1, 2011) (Correction)","2016/02/04 FDIC Proposed Rule Assessments (Comments due by March 7, 2016)
2015/07/13 FDIC Proposed Rule Assessments, Small Insured Depository Institutions (Comments due by September 11, 2015)
2014/07/23 FDIC Proposed Rule Assessments (Comments due by September 22, 2014)
2012/03/27 FDIC Proposed Rule Assessments, Large Bank Pricing (Comments due by May 29, 2012)
2010/11/24 FDIC Proposed Rule Assessments, Large Bank Pricing (Comments due by January 3, 2011)
2010/11/24 FDIC Proposed Rule Assessments, Assessment Base and Rates (Comments due by January 3, 2011)
2010/10/27 FDIC Proposed Rule Assessment Dividends, Assessment Rates and Designated Reserve Ratio (Comments due by November 26, 2010)","143
1341",,10
44,Designated Reserve Ratio,Deposit Insurance Reforms,FDIC,334,"12 CFR Part 327
RIN 3064-AD69
RIN 3064-AD63","To implement a comprehensive, long-range management plan for the Deposit Insurance Fund, the FDIC is amending its regulations to set the designated reserve ratio at 2 percent.","2016/07/01 - Effective Date of Final Rule
2016/05/20 - Final Rule (Amendment to Assessments)
2016/03/25 - Final Rule
2011/01/01 - Effective Date of Final Rule
2010/12/20 - Final Rule
2010/11/26 - Comment Deadline for Proposed Rule
2010/10/27 - Proposed Rule","2016/05/20 FDIC Final Rule Assessments (Amendment) (Effective July 1, 2016)
2016/03/25 FDIC Final Rule Assessments (Effective July 1, 2016)
2010/12/20 FDIC Final Rule Designated Reserve Ratio (Effective January 1, 2011)","2016/02/04 FDIC Proposed Rule Assessments (Comments due by March 7, 2016)
2014/07/23 FDIC Proposed Rule Assessments (Comments due by September 22, 2014)
2010/10/27 FDIC Proposed Rule Assessment Dividends, Assessment Rates and Designated Reserve Ratio (Comments due by November 26, 2010)",147,,11
45,Permanent Increase in Standard Deposit Insurance Coverage Amount,Deposit Insurance Reforms,FDIC,335,"12 CFR Parts 328, 330 and 347
RIN 3064-AD61","Section 335 of the Dodd-Frank Act made permanent the standard maximum deposit insurance amount of $250,000. The FDIC is conforming its regulations to reflect this recent congressional action.","2011/01/03 - Compliance Deadline for Final Rule
2010/08/13 - Effective Date of Final Rule
2010/08/13 - Final Rule","2010/08/13 FDIC Final Rule Deposit Insurance Regulations; Permanent Increase in Standard Coverage Amount; Advertisement of Membership; International Banking; Foreign Banks (Effective August 13, 2010) (Compliance required by January 3, 2011)",,"148
149",,12
46,Treasury Tax and Loan Depositaries; Depositaries and Financial Agents of the Government,Deposit Insurance Reforms,NCUA,335,"12 CFR Part 701
RIN 3133-AE15","The NCUA is making technical amendments to NCUA's regulation regarding share insurance on various kinds of treasury accounts. The technical amendments conform the regulation to changes made to NCUA's standard maximum share insurance amount (SMSIA) by the Dodd-Frank Act. Specifically, the Dodd-Frank Act increased the SMSIA from $100,000 to $250,000.","2013/01/18 - Effective Date of Final Rule
2013/01/18 - Final Rule","2013/01/18 NCUA Final Rule Treasury Tax and Loan Depositaries; Depositaries and Financial Agents of the Government (Effective January 18, 2013)",,149,,259
47,Standards for Minority and Women Inclusion,Office of Minority and Women Inclusion,NCUA,342,"12 CFR Parts 701, 760, and 790","The NCUA Board is amending the sections of NCUA’s regulations addressing non-discrimination requirements, flood insurance and the description of NCUA to make minor, nonsubstantive technical corrections. The technical amendments update the regulations to reflect current agency practice and will not cause any substantive changes.","2012/03/21 - Effective Date of Final Rule
2012/03/21 - Final Rule","2012/03/21 NCUA Final Rule Technical Amendments (Effective March 21, 2012)",,155,,217
48,Contract Clause on Minority and Women Inclusion in Contractor Workforce,Office of Minority and Women Inclusion,Treasury,342,"48 CFR Chapter 10
RIN 1505-AC40","The Department of the Treasury is amending the Department of the Treasury Acquisition Regulation to include a contract clause on minority and women inclusion, as required by the Dodd-Frank Act.","2014/04/21 - Effective Date of Final Rule
2014/03/20 - Final Rule
2012/10/22 - Comment Deadline for Proposed Rule
2012/08/21 - Proposed Rule","2014/03/20 Treasury Final Rule Contract Clause on Minority and Women Inclusion in Contractor Workforce (Effective April 21, 2014)","2012/08/21 Treasury Proposed Rule Contract Clause on Minority and Women Inclusion in Contractor Workforce (Comments due by October 22, 2012)","155
156",,244
49,Establishing Joint Standards for Assessing the Diversity Policies and Practices of Entities Regulated by the Agencies,Office of Minority and Women Inclusion,"CFPB, FDIC, Fed, NCUA, OCC, SEC",342,Release No. 34-75050,"The OCC, Fed, FDIC, NCUA, CFPB and SEC issued a final interagency policy statement establishing joint standards for assessing the diversity policies and practices of the entities they regulated, as required by the Dodd-Frank Act.","2015/08/10 - Comment Deadline for Proposed Information Collection
2015/06/10 - Final Interagency Policy Statement and Proposed Information Collection
2014/02/07 - Comment Deadline for Proposed Interagency Policy Statement
2013/10/25 - Proposed Interagency Policy Statement","2015/06/10 CFPB/FDIC/Fed/NCUA/OCC/SEC Final Interagency Policy Statement and Proposed Information Collection Establishing Joint Standards for Assessing the Diversity Policies and Practices of Entities Regulated by the Agencies (Effective June 10, 2015) (Comments due by August 10, 2015)","2013/10/25 CFPB/FDIC/Fed/NCUA/OCC/SEC Proposed Interagency Policy Statement Joint Standards for Assessing the Diversity Policies and Practices of Entities Regulated by the Agencies (Comment deadline extended to February 7, 2014; comments originally due by December 24, 2013) (CFPB Press Release) (FDIC Press Release) (Fed Press Release) (NCUA Press Release) (OCC Press Release) (SEC Press Release)(OCC Bulletin) (FDIC Press Release on Comment Extension) (Fed Press Release on Comment Extension) (NCUA Press Release on Comment Extension) (OCC Press Release on Comment Extension) (SEC Press Release on Comment Extension)",155,,323
50,Unlimited Coverage for Noninterest-Bearing Transaction Accounts,Deposit Insurance Reforms,FDIC,343,"12 CFR Part 330
RIN 3064-AD37
RIN 3064-AD65","The FDIC is adopting a final rule amending its deposit insurance regulations to implement section 343 of the Dodd-Frank Act providing for unlimited deposit insurance for “noninterest-bearing transaction accounts” for two years starting December 31, 2010.","2011/01/27 - Effective Date of Final Rule on IOLTAs
2011/01/27 - Final Rule on IOLTAs
2010/12/31 - Effective Date of Final Rule
2010/11/15 - Final Rule
2010/10/15 - Comment Deadline for Proposed Rule
2010/09/30 - Proposed Rule","2011/01/27 FDIC Final Rule Deposit Insurance Regulations; Unlimited Coverage for Noninterest-bearing Transaction Accounts; Inclusion of Interest on Lawyers Trust Accounts (Effective January 27, 2011)
2010/11/15 FDIC Final Rule Unlimited Coverage for Noninterest-Bearing Transaction Accounts (Effective December 31, 2010)","2010/09/30 FDIC Proposed Rule Unlimited Coverage for Noninterest-Bearing Transaction Accounts (Comments due by October 15, 2010)",160,,13
51,Unlimited Coverage for Noninterest-Bearing Transaction Accounts; Conforming Amendments to Share Insurance Rules,Deposit Insurance Reforms,NCUA,343,"12 CFR Part 745
RIN 3133–AD79","Section 343 of the Dodd-Frank Act provides that, on a temporary basis, NCUA shall fully insure the net amount that any member or depositor at an insured credit union maintains in a noninterest-bearing transaction account. Although this insurance coverage is self-implementing, and therefore already in place, this final rule: (1) clarifies the definition of the term ""noninterest-bearing transaction account;"" (2) provides that this new insurance coverage is separate from, and in addition to, other coverage provided in NCUA's share insurance rules; and (3) imposes certain notice and disclosure requirements.","2011/06/24 - Effective Date of Final Rule
2011/05/19 - Final Rule
2011/02/22 - Comment Deadline for Proposed Rule
2010/12/22 - Proposed Rule","2011/05/25 NCUA Final Rule Share Insurance and Appendix (Effective June 24, 2011)","2010/12/22 NCUA Proposed Rule Share Insurance and Appendix (Comments due by February 22, 2011)",160,,14
52,Removal of References to Credit Ratings in Certain Regulations Governing the Federal Home Loan Banks,Credit Rating Agencies,FHFA,939A,"12 CFR Parts 1267, 1269, and 1270
RIN 2590-AA40","Section 939A of the Dodd-Frank Act requires Federal agencies to review regulations that require the use of an assessment of the credit-worthiness of a security or money market instrument and any references to, or requirements in, such regulations regarding credit ratings issued by credit rating organizations registered with the SEC as nationally recognized statisctical rating organizations, and to remove such references or requirements. To implement this provision, the FHFA is proposing to remove a number of references and requirements in certain safety and soundness regulations affecting the Federal Home Loan Banks (Banks) and to adopt new provisions that would require the Banks to apply internal analytic standards and criteria to determine the credit quality of a security or obligation, subject to FHFA oversight and review through the examination and supervisory process. FHFA will undertake separate rulemakings to remove NRSRO references and requirements contained in the capital regulations applicable to the Banks and in the regulations governing the Banks' acquired member asset programs.","2014/05/07 - Effective Date of Final Rule
2013/11/08 - Final Rule
2013/07/22 - Comment Deadline for Proposed Rule
2013/05/23 - Proposed Rule","2013/11/08 FHFA Final Rule Removal of References to Credit Ratings in Certain Regulations Governing the Federal Home Loan Banks (Effective May 7, 2014)","2013/05/23 FHFA Proposed Rule Removal of References to Credit Ratings in Certain Regulations Governing the Federal Home Loan Banks (Comments due by July 22, 2013)",680,,271
53,"Exemptions for Advisers to Venture Capital Funds, Private Fund Advisers with Less Than $150 Million in Assets Under Management, and Foreign Private Advisers",Private Funds/ Investment Advisers,SEC,"403
407
408","17 CFR Part 275
RIN 3235–AK81","The SEC is adopting rules to implement new exemptions from the registration requirements of the Investment Advisers Act of 1940 for advisers to certain privately offered investment funds; these exemptions were enacted as part of the Dodd-Frank Act. As required by Title IV of the Dodd-Frank Act, the Private Fund Investment Advisers Registration Act of 2010, the new rules define ""venture capital fund"" and provide an exemption from registration for advisers with less than $150 million in private fund assets under management in the United States. The new rules also clarify the meaning of certain terms included in a new exemption from registration for ""foreign private advisers.""","2011/07/21 - Effective Date of Final Rule
2011/07/06 - Final Rule
2011/01/24 - Comment Deadline for Proposed Rule
2010/12/10 - Proposed Rule","2011/07/06 SEC Final Rule Exemptions for Advisers to Venture Capital Funds, Private Fund Advisers With Less Than $150 Million in Assets Under Management, and Foreign Private Advisers (Effective July 21, 2011)","2010/12/10 SEC Proposed Rule Exemptions for Advisers to Venture Capital Funds, Private Fund Advisers with Less Than $150 Million in Assets Under Management, and Foreign Private Advisers (Comments due by January 24, 2011)","166
178
179
180",,15
54,Reporting by Investment Advisers to Private Funds and Certain Commodity Pool Operators and Commodity Trading Advisors on Form PF,Private Funds/ Investment Advisers,"CFTC
SEC","404
406","17 CFR Parts 4, 275 and 279
RIN 3038-AD03
RIN 3235-AK92","The CFTC and the SEC are adopting new rules under the Commodity Exchange Act and the Investment Advisers Act of 1940 to implement provisions of Title IV of the Dodd-Frank Act. The new SEC rule requires investment advisers registered with the SEC that advise one or more private funds and have at least $150 million in private fund assets under management to file Form PF with the SEC. The new CFTC rule requires commodity pool operators and commodity trading advisors registered with the CFTC to satisfy certain CFTC filing requirements with respect to private funds, should the CFTC adopt such requirements, by filing Form PF with the SEC, but only if those CPOs and CTAs are also registered with the SEC as investment advisers and are required to file Form PF under the Advisers Act. The new CFTC rule also allows such CPOs and CTAs to satisfy certain CFTC filing requirements with respect to commodity pools that are not private funds, should the CFTC adopt such requirements, by filing Form PF with the SEC. Advisers must file Form PF electronically, on a confidential basis. The information contained in Form PF is designed, among other things, to assist the Financial Stability Oversight Council in its assessment of systemic risk in the U.S. financial system.","2014/10/14 - Effective Date of Final Rule (Amendments)
2014/08/14 - Final Rule (Amendments)
2013/09/17 - Comment Deadline for Proposed Rule (Amendments)
2013/06/19 - Proposed Rule (Amendments)
2012/03/31 - Effective Date of Final Rule (Compliance dates vary)
2011/11/16 - Final Rule
2011/06/03 - Comment Deadline for Proposed Rule (Reopened)
2011/04/12 - Comment Deadline for Proposed Rule
2011/02/11 - Proposed Rule","2014/08/14 SEC Final Rule Money Market Fund Reform; Amendments to Form PF (Effective October 14, 2014)
2011/11/16 CFTC/SEC Final Rule Reporting by Investment Advisers to Private Funds and Certain Commodity Pool Operators and Commodity Trading Advisors on Form PF (Effective March 31, 2012) (Compliance dates vary) (Form PF)","2013/06/19 SEC Proposed Rule Money Market Fund Reform; Amendments to Form PF (Comments due by September 17, 2013)
2011/02/11 CFTC/SEC Proposed Rule Reporting by Investment Advisers to Private Funds and Certain Commodity Pool Operators and Commodity Trading Advisors on Form PF (Comments due by April 12, 2011) (Comment period reopened on May 4, 2011; comments now due by June 3, 2011) (CFTC Commentary Page) (SEC Commentary Page)","172
173
177",,16
55,Commodity Pool Operators and Commodity Trading Advisors: Amendments to Compliance Obligations,Private Funds/ Investment Advisers,CFTC,"404
406","17 CFR Parts 4, 145 and 147
RIN 3038-AD30","The CFTC is adopting amendments to its existing part 4 regulations and promulgating one new regulation regarding Commodity Pool Operators and Commodity Trading Advisors. The CFTC is also adopting new data collections for CPOs and CTAs that are consistent with a data collection required under the Dodd-Frank Act for entities registered with both the CFTC and the SEC. The adopted amendments to part 4 will: rescind the exemption from registration provided in  Section 4.13(a)(4); rescind relief from the certification requirement for annual reports provided to operators of certain pools offered only to qualified eligible persons under Section 4.7(b)(3); modify the criteria for claiming relief under Section 4.5; and require the annual filing of notices claiming exemptive relief under several sections of the CFTC's regulations. Finally, the adopted amendments include new risk disclosure requirements for CPOs and CTAs regarding swap transactions.","2012/07/02 - Effective Date of Final Rule Amendments to Section 4.27 (Compliance dates vary)
2012/04/24 - Effective Date of Final Rule (Compliance dates vary)
2012/02/24 - Final Rule
2011/06/03 - Comment Deadline for Proposed Rule (Reopened)
2011/04/12 - Comment Deadline for Proposed Rule
2011/02/11 - Proposed Rule","2012/02/24 CFTC Final Rule Commodity Pool Operators and Commodity Trading Advisors: Amendments to Compliance Obligations (Effective April 24, 2012, except Section 4.27) (Compliance dates vary) (Correction)","2011/02/11 CFTC Proposed Rule Commodity Pool Operators and Commodity Trading Advisors: Amendments to Compliance Obligations (Comments due by April 12, 2011) (Comment period reopened on May 4, 2011; comments now due by June 3, 2011)",177,,17
56,Rules Implementing Amendments to the Investment Advisers Act,Private Funds/ Investment Advisers,SEC,"407
408
410","17 CFR Parts 275 and 279
RIN 3235–AK82","The SEC is adopting new rules and rule amendments under the Investment Advisers Act of 1940 to implement provisions of the Dodd-Frank Act. These rules and rule amendments are designed to give effect to provisions of Title IV of the Dodd-Frank Act that, among other things, increase the statutory threshold for registration by investment advisers with the Commission, require advisers to hedge funds and other private funds to register with the Commission, and require reporting by certain investment advisers that are exempt from registration. In addition, we are adopting rule amendments, including amendments to the Commission's pay to play rule, that address a number of other changes made by the Dodd-Frank Act.","2011/09/19 - Effective Date of Final Rule - Rescission of Exemptions and Safe Harbor
2011/07/21 - Effective Date of Final Rule - Registration
2011/07/19 - Final Rule
2011/01/24 - Comment Deadline for Proposed Rule
2010/12/10 - Proposed Rule","2011/07/19 SEC Final Rule Implementing Amendments to the Investment Advisers Act (Effective in part July 21, 2011; remainder effective September 19, 2011) (Technical Amendment)","2010/12/10 SEC Proposed Rule Implementing Amendments to the Investment Advisers Act (Comments due by January 24, 2011)","179
180
181
184",,18
57,Family Offices,Private Funds/ Investment Advisers,SEC,409,"17 CFR Part 275
RIN 3235-AK66","The SEC is adopting a rule to define ""family offices"" that will be excluded from the definition of an investment adviser under the Investment Advisers Act of 1940 and thus will not be subject to regulation under the Advisers Act.","2011/08/29 - Effective Date of Final Rule
2011/06/29 - Final Rule
2010/11/18 - Comment Deadline for Proposed Rule
2010/10/18 - Proposed Rule","2011/06/29 SEC Final Rule Family Offices (Effective August 29, 2011)","2010/10/18 SEC Proposed Rule New Family Office Definition Under the Dodd-Frank Act (Comments due by November 18, 2010)",183,,19
58,Net Worth Standard for Accredited Investors,Reg D/ Accredited Investors,SEC,413,"17 CFR Parts 230, 239, 270 and 275
RIN 3235-AK90","We are adopting amendments to the accredited investor standards in our rules under the Securities Act of 1933 to implement the requirements of Section 413(a) of the Dodd-Frank Act. Section 413(a) requires the definitions of “accredited investor” in our Securities Act rules to exclude the value of a person’s primary residence for purposes of determining whether the person qualifies as an “accredited investor” on the basis of having a net worth in excess of $1 million. This change to the net worth standard was effective upon enactment by operation of the Dodd-Frank Act, but Section 413(a) also requires us to revise our current Securities Act rules to conform to the new standard. We also are adopting technical amendments to Form D and a number of our rules to conform them to the requirements of Section 413(a) and to correct cross-references to former Section 4(6) of the Securities Act, which was renumbered Section 4(5) by Section 944 of the Dodd-Frank Act.","2012/02/27 - Effective Date of Final Rule
2011/12/29 - Final Rule
2011/03/11 - Comment Deadline for Proposed Rule
2011/01/31 - Proposed Rule","2011/12/29 SEC Final Rule Net Worth Standard for Accredited Investors (Effective February 27, 2012)","2011/01/31 SEC Proposed Rule Net Worth Standard for Accredited Investors (Comments due by March 11, 2011)",189,,20
59,Investment Adviser Performance Compensation,Private Funds/ Investment Advisers,SEC,418,"17 CFR Part 275
RIN 3235-AK71","The SEC is adopting amendments to the rule under the Investment Advisers Act of 1940 that permits investment advisers to charge performance based compensation to “qualified clients.” The amendments revise the dollar amount thresholds of the rule’s tests that are used to determine whether an individual or company is a qualified client. These rule amendments codify revisions that the SEC recently issued by order that adjust the dollar amount thresholds to account for the effects of inflation. In addition, the rule amendments: provide that the SEC will issue an order every five years in the future adjusting the dollar amount thresholds for inflation; exclude the value of a person’s primary residence and certain associated debt from the test of whether a person has sufficient net worth to be considered a qualified client; and add certain transition provisions to the rule.","2012/05/22 - Effective Date of Final Rule
2012/02/22 - Final Rule
2011/09/19 - Effective Date of Order
2011/07/15 - Order
2011/07/11 - Comment Deadline for Proposed Rule
2011/05/13 - Proposed Rule and Notice","2012/02/22 SEC Final Rule Investment Adviser Performance Compensation (Effective May 22, 2012)
2011/07/15 SEC Order Adjustment for Inflation of the Dollar Amount Tests in Rule 205-3 under the Investment Advisers Act of 1940 (Effective September 19, 2011)","2011/05/13 SEC Proposed Rule and Notice of Intent to Issue Order Investment Adviser Performance Compensation (Comments due by July 11, 2011)",194,,134
60,"Lending Limits
[DPW Note: See related Final Rule .]",Affiliate Transactions and Lending Limits,OCC,610,"12 CFR Parts 32, 159 and 160
RIN 1557-AD59","The OCC is finalizing its lending limits interim final rule, with revisions. The interim final rule consolidated the lending limits rules applicable to national banks and savings associations, removed the separate OCC regulation governing lending limits for savings associations, and implemented section 610 of the Dodd-Frank Act, which amends the statutory definition of ""loans and extensions of credit"" to include certain credit exposures arising from derivative transactions, repurchase agreements, reverse repurchase agreements, securities lending transactions, and securities borrowing transactions.","2013/10/01 - Effective Date of Interim Final Rule: Amendatory Instruction 3a
2013/10/01 - Effective Date of Final Rule
2013/06/25 - Effective Date of Final Rule: Amendatory Instruction 2b
2013/06/25 - Final Rule
2012/08/06 - Comment Deadline for Interim Final Rule
2012/07/21 - Effective Date of Interim Final Rule
2012/06/21 - Interim Final Rule","2013/06/25 OCC Final Rule Lending Limits (Effective October 1, 2013, except for amendatory instruction 2b, which is effective June 25, 2013)
2012/06/21 OCC Interim Final Rule Lending Limits (Effective July 21, 2012) (Comments due by August 6, 2012)",,253,,224
61,Integration of National Bank and Federal Savings Association Regulations: Licensing Rules,Regulation of Depository Institutions and their Holding Companies,OCC,612,"12 CFR Parts 4, 5, 7, 14, 32, 34, 100, 116, 143, 144, 145, 146, 150, 152, 159, 160, 161, 162, 163, 174, 192, 193
RIN 1557-AD80","The OCC is proposing to integrate its rules relating to policies and procedures for corporate activities and transactions involving national banks and Federal savings associations, to revise some of these rules in order to eliminate unnecessary requirements consistent with safety and soundness, and to make other technical and conforming changes. The OCC also is proposing amendments to update its rules for agency organization and function.","2014/08/11 - Comment Deadline for Proposed Rule
2014/06/10 - Proposed Rule",,"2014/06/10 OCC Proposed Rule Integration of National Bank and Federal Savings Associations Regulations: Licensing Rules (Comments due by August 11, 2014)",255,,306
62,Supervised Securities Holding Companies Registration,Investor Protection and Changes to Securities Laws,Federal Reserve,618,"12 CFR Part 241
RIN 7100–AD81","The Fed is adopting this final rule to implement section 618 of the Dodd-Frank Act, which permits nonbank companies that own at least one registered securities broker or dealer, and that are required by a foreign regulator or provision of foreign law to be subject to comprehensive consolidated supervision, to register with the Fed and subject themselves to supervision by the Fed. The final rule outlines the requirements that a securities holding company must satisfy to make an effective election, including filing the appropriate form with the responsible Reserve Bank, providing all additional required information, and satisfying the statutory waiting period of 45 days or such shorter period the Fed determines appropriate.","2012/07/20 - Effective Date of Final Rule
2012/06/04 - Final Rule
2011/10/11 - Comment Deadline for Proposed Rule
2011/09/02 - Proposed Rule","2012/06/04 Fed Final Rule Supervised Securities Holding Companies Registration (Effective July 20, 2012)","2011/09/02 Fed Proposed Rule Supervised Securities Holding Companies Registration (Comments due by October 11, 2011)",263,,172
63,Conformance Period for Entities Engaged in Prohibited Proprietary Trading or Private Equity or Hedge Fund Activities,Volcker Rule,Federal Reserve,619,"12 CFR Part 225
RIN 7100-AD58","The Federal Reserve is adopting a final rule to implement the conformance period during which banking entities and nonbank financial companies supervised by the Federal Reserve must bring their activities and investments into compliance with the prohibitions and restrictions on proprietary trading and relationships with hedge funds and private equity funds imposed by section 619 of the Dodd-Frank Act. Section 619 is commonly referred to as the “Volcker Rule.” The final rule is similar to the proposal issued for comment in November 2010. The Federal Reserve, however, has incorporated a number of changes to the final rule to address issues raised by public commenters, to reduce potential regulatory burdens, and to clarify application of the rule.","2011/04/01 - Effective Date of Final Rule
2011/02/14 - Final Rule
2011/01/10 - Comment Deadline for Proposed Rule
2010/11/26 - Proposed Rule","2011/02/14 Final Rule Conformance Period for Entities Engaged in Prohibited Proprietary Trading or Private Equity Fund or Hedge Fund Activities (Effective April 1, 2011)","2010/11/26 Fed Proposed Rule Conformance Period for Entities Engaged in Prohibited Proprietary Trading or Private Equity or Hedge Fund Activities (Comments due by January 10, 2011)","269
270
273",,21
64,"Prohibitions and Restrictions on Proprietary Trading and Certain Interests In, and Relationships with, Hedge Funds and Private Equity Funds",Volcker Rule,"FDIC
Federal Reserve
OCC
SEC",619,"12 CFR Part 248
RIN 7100-AD82
12 CFR 351
RIN 3064-AD85
12 CFR Part 44
RIN 1557-AD44
17 CFR Part 255
RIN 3235-AL07","The OCC, Fed, FDIC, and SEC are adopting a rule that would implement Section 13 of the BHC Act, which was added by Section 619 of the Dodd-Frank Act. Section 13 contains certain prohibitions and restrictions on the ability of a banking entity and nonbank financial company supervised by the Fed to engage in proprietary trading and have certain interests in, or relationships with, a hedge fund or private equity fund.","2014/04/01 - Effective Date of Final Rule
2014/01/31 - Final Rule
2012/02/13 - Comment Deadline for Proposed Rule
2011/11/07 - Proposed Rule","2014/01/31 FDIC/Fed/OCC/SEC Final Rule Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships with, Hedge Funds and Private Equity Funds (Effective April 1, 2014)","2011/11/07 FDIC/Fed/OCC/SEC Proposed Rule Prohibitions and Restrictions on Proprietary Trading and Certain Interests In, and Relationships with, Hedge Funds and Private Equity Funds (Comments deadline extended to February 13, 2012; comments originally due by January 13, 2012) (FDIC Commentary Page) (Fed Commentary Page) (OCC Commentary Page) (SEC Commentary Page)","267
272
286
287
290
291
294
297",,179
